iter	Passed	Remaining
0	48	48803
1	49	24845
2	50	16833
3	51	12819
4	52	10410
5	53	8795
6	53	7643
7	54	6778
8	55	6113
9	56	5640
10	57	5197
11	58	4828
12	59	4506
13	60	4227
14	60	3988
15	61	3779
16	62	3592
17	62	3425
18	63	3278
19	64	3147
20	64	3023
21	65	2912
22	66	2811
23	66	2718
24	67	2631
25	68	2551
26	68	2477
27	69	2408
28	69	2341
29	70	2279
30	71	2223
31	72	2181
32	72	2132
33	73	2084
34	74	2041
35	75	2010
36	75	1970
37	76	1930
38	76	1892
39	77	1855
40	77	1821
41	78	1788
42	78	1757
43	79	1727
44	79	1697
45	80	1669
46	81	1642
47	81	1616
48	82	1592
49	82	1568
50	82	1543
51	83	1520
52	83	1497
53	84	1475
54	84	1455
55	85	1434
56	85	1415
57	85	1396
58	86	1379
59	86	1362
60	87	1345
61	87	1328
62	88	1312
63	88	1296
64	89	1281
65	89	1265
66	89	1250
67	90	1236
68	90	1222
69	90	1207
70	91	1194
71	91	1180
72	91	1167
73	92	1154
74	92	1142
75	92	1130
76	93	1118
77	93	1107
78	93	1095
79	94	1084
80	94	1073
81	94	1063
82	95	1051
83	95	1040
84	95	1029
85	95	1019
86	96	1009
87	96	999
88	96	989
89	96	979
90	97	970
91	97	961
92	97	952
93	97	943
94	98	934
95	98	926
96	98	918
97	98	910
98	99	902
99	99	894
100	99	886
101	99	879
102	100	871
103	100	864
104	100	857
105	100	850
106	101	844
107	101	837
108	101	832
109	102	826
110	102	820
111	102	814
112	103	808
113	103	802
114	103	796
115	103	791
116	104	785
117	104	779
118	104	774
119	104	769
120	105	763
121	105	758
122	105	753
123	105	748
124	106	743
125	106	738
126	106	733
127	106	728
128	107	724
129	107	719
130	107	714
131	107	709
132	108	705
133	108	700
134	108	696
135	108	691
136	109	687
137	109	682
138	109	678
139	109	674
140	109	670
141	110	665
142	110	661
143	110	657
144	110	653
145	111	649
146	111	645
147	111	641
148	111	637
149	111	634
150	112	630
151	112	626
152	112	623
153	112	619
154	113	616
155	113	612
156	113	609
157	113	605
158	113	602
159	114	599
160	114	595
161	114	592
162	114	588
163	114	585
164	115	582
165	115	579
166	115	576
167	115	573
168	116	570
169	116	570
170	117	567
171	117	565
172	117	562
173	118	560
174	118	557
175	118	555
176	118	552
177	119	550
178	119	547
179	119	545
180	120	543
181	120	540
182	120	538
183	120	536
184	121	533
185	121	531
186	121	529
187	121	526
188	122	524
189	122	521
190	122	519
191	122	516
192	123	514
193	123	512
194	123	509
195	123	507
196	123	505
197	124	503
198	124	500
199	124	498
200	124	496
201	125	494
202	125	492
203	125	489
204	125	487
205	126	485
206	126	483
207	126	481
208	126	479
209	126	477
210	127	475
211	127	473
212	127	471
213	127	469
214	128	467
215	128	465
216	128	463
217	128	462
218	129	460
219	129	458
220	129	456
221	129	455
222	130	453
223	130	451
224	130	450
225	130	448
226	131	446
227	131	445
228	131	443
229	131	441
230	132	440
231	132	439
232	133	438
233	133	436
234	133	435
235	133	433
236	134	432
237	134	430
238	134	428
239	134	427
240	135	425
241	135	424
242	135	422
243	135	421
244	136	419
245	136	418
246	136	416
247	137	415
248	137	413
249	137	412
250	137	411
251	137	409
252	138	408
253	138	406
254	138	405
255	139	404
256	139	402
257	139	401
258	139	399
259	139	398
260	140	397
261	140	395
262	140	394
263	140	392
264	141	391
265	141	389
266	141	388
267	141	387
268	142	385
269	142	384
270	142	383
271	142	381
272	142	380
273	143	379
274	143	378
275	143	376
276	143	375
277	144	374
278	144	373
279	144	371
280	144	370
281	145	369
282	145	368
283	145	366
284	145	365
285	145	364
286	146	363
287	146	361
288	146	360
289	146	359
290	147	358
291	147	357
292	147	355
293	147	354
294	148	353
295	148	352
296	148	351
297	148	350
298	149	349
299	149	348
300	149	347
301	149	346
302	150	345
303	150	344
304	150	343
305	151	342
306	151	341
307	151	340
308	151	339
309	152	338
310	152	337
311	152	336
312	152	335
313	153	334
314	153	333
315	153	332
316	153	331
317	153	330
318	154	329
319	154	328
320	154	327
321	154	326
322	155	325
323	155	324
324	155	323
325	155	322
326	156	321
327	156	320
328	156	319
329	156	318
330	156	317
331	157	316
332	157	315
333	157	314
334	157	313
335	158	312
336	158	311
337	158	310
338	158	309
339	158	308
340	159	307
341	159	306
342	159	305
343	159	304
344	160	303
345	160	302
346	160	302
347	160	301
348	160	300
349	161	299
350	161	298
351	161	297
352	161	296
353	162	295
354	162	294
355	162	293
356	162	293
357	162	292
358	163	291
359	163	290
360	163	289
361	164	289
362	164	288
363	164	287
364	164	286
365	165	285
366	165	285
367	165	284
368	165	283
369	166	282
370	166	281
371	166	281
372	166	280
373	167	279
374	167	278
375	167	278
376	167	277
377	168	276
378	168	275
379	168	274
380	168	274
381	168	273
382	169	272
383	169	271
384	169	271
385	169	270
386	170	269
387	170	268
388	170	267
389	170	267
390	170	266
391	171	265
392	171	264
393	171	263
394	171	263
395	172	262
396	172	261
397	172	260
398	172	260
399	173	259
400	173	258
401	173	258
402	173	257
403	173	256
404	174	255
405	174	255
406	174	254
407	174	253
408	175	252
409	175	252
410	175	251
411	175	250
412	175	250
413	176	249
414	176	248
415	176	247
416	176	247
417	177	246
418	177	245
419	177	245
420	177	244
421	177	243
422	178	243
423	178	242
424	178	241
425	178	241
426	179	240
427	179	239
428	179	239
429	179	238
430	180	237
431	180	237
432	180	236
433	180	235
434	181	235
435	181	234
436	181	234
437	181	233
438	182	232
439	182	232
440	182	231
441	182	230
442	183	230
443	183	229
444	183	229
445	183	228
446	184	227
447	184	227
448	184	226
449	184	225
450	185	225
451	185	224
452	185	223
453	185	223
454	185	222
455	186	222
456	186	221
457	186	220
458	186	220
459	187	219
460	187	218
461	187	218
462	187	217
463	188	217
464	188	216
465	188	215
466	188	215
467	188	214
468	189	214
469	189	213
470	189	212
471	189	212
472	190	211
473	190	211
474	190	210
475	190	209
476	190	209
477	191	208
478	191	208
479	191	207
480	191	206
481	192	206
482	192	205
483	192	205
484	192	204
485	192	204
486	193	203
487	193	202
488	193	202
489	193	201
490	194	201
491	194	200
492	194	200
493	194	199
494	195	199
495	195	198
496	195	198
497	195	197
498	196	196
499	196	196
500	196	195
501	196	195
502	197	194
503	197	194
504	197	193
505	197	193
506	198	192
507	198	192
508	198	191
509	198	191
510	199	190
511	199	189
512	199	189
513	199	188
514	200	188
515	200	187
516	200	187
517	200	186
518	200	186
519	201	185
520	201	185
521	201	184
522	201	184
523	202	183
524	202	182
525	202	182
526	202	181
527	202	181
528	203	180
529	203	180
530	203	179
531	203	179
532	204	178
533	204	178
